10100|2003-01-06 05:00:00|2003-01-13 05:00:00|2003-01-10 05:00:00|Shipped|\N|363
10101|2003-01-09 05:00:00|2003-01-18 05:00:00|2003-01-11 05:00:00|Shipped|Check on availability.|128
10102|2003-01-10 05:00:00|2003-01-18 05:00:00|2003-01-14 05:00:00|Shipped|\N|181
10103|2003-01-29 05:00:00|2003-02-07 05:00:00|2003-02-02 05:00:00|Shipped|\N|121
10104|2003-01-31 05:00:00|2003-02-09 05:00:00|2003-02-01 05:00:00|Shipped|\N|141
10105|2003-02-11 05:00:00|2003-02-21 05:00:00|2003-02-12 05:00:00|Shipped|\N|145
10106|2003-02-17 05:00:00|2003-02-24 05:00:00|2003-02-21 05:00:00|Shipped|\N|278
10107|2003-02-24 05:00:00|2003-03-03 05:00:00|2003-02-26 05:00:00|Shipped|Difficult to negotiate with customer. We need more marketing materials|131
10108|2003-03-03 05:00:00|2003-03-12 05:00:00|2003-03-08 05:00:00|Shipped|\N|385
10109|2003-03-10 05:00:00|2003-03-19 05:00:00|2003-03-11 05:00:00|Shipped|Customer requested that FedEx Ground is used for this shipping|486
10110|2003-03-18 05:00:00|2003-03-24 05:00:00|2003-03-20 05:00:00|Shipped|\N|187
10111|2003-03-25 05:00:00|2003-03-31 05:00:00|2003-03-30 05:00:00|Shipped|\N|129
10112|2003-03-24 05:00:00|2003-04-03 05:00:00|2003-03-29 05:00:00|Shipped|Customer requested that ad materials (such as posters, pamphlets) be included in the shippment|144
10113|2003-03-26 05:00:00|2003-04-02 05:00:00|2003-03-27 05:00:00|Shipped|\N|124
10114|2003-04-01 05:00:00|2003-04-07 04:00:00|2003-04-02 05:00:00|Shipped|\N|172
10115|2003-04-04 05:00:00|2003-04-12 04:00:00|2003-04-07 04:00:00|Shipped|\N|424
10116|2003-04-11 04:00:00|2003-04-19 04:00:00|2003-04-13 04:00:00|Shipped|\N|381
10117|2003-04-16 04:00:00|2003-04-24 04:00:00|2003-04-17 04:00:00|Shipped|\N|148
10118|2003-04-21 04:00:00|2003-04-29 04:00:00|2003-04-26 04:00:00|Shipped|Customer has worked with some of our vendors in the past and is aware of their MSRP|216
10119|2003-04-28 04:00:00|2003-05-05 04:00:00|2003-05-02 04:00:00|Shipped|\N|382
10120|2003-04-29 04:00:00|2003-05-08 04:00:00|2003-05-01 04:00:00|Shipped|\N|114
10121|2003-05-07 04:00:00|2003-05-13 04:00:00|2003-05-13 04:00:00|Shipped|\N|353
10122|2003-05-08 04:00:00|2003-05-16 04:00:00|2003-05-13 04:00:00|Shipped|\N|350
10123|2003-05-20 04:00:00|2003-05-29 04:00:00|2003-05-22 04:00:00|Shipped|\N|103
10124|2003-05-21 04:00:00|2003-05-29 04:00:00|2003-05-25 04:00:00|Shipped|Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch|112
10125|2003-05-21 04:00:00|2003-05-27 04:00:00|2003-05-24 04:00:00|Shipped|\N|114
10126|2003-05-28 04:00:00|2003-06-07 04:00:00|2003-06-02 04:00:00|Shipped|\N|458
10127|2003-06-03 04:00:00|2003-06-09 04:00:00|2003-06-06 04:00:00|Shipped|Customer requested special shippment. The instructions were passed along to the warehouse|151
10128|2003-06-06 04:00:00|2003-06-12 04:00:00|2003-06-11 04:00:00|Shipped|\N|141
10129|2003-06-12 04:00:00|2003-06-18 04:00:00|2003-06-14 04:00:00|Shipped|\N|324
10130|2003-06-16 04:00:00|2003-06-24 04:00:00|2003-06-21 04:00:00|Shipped|\N|198
10131|2003-06-16 04:00:00|2003-06-25 04:00:00|2003-06-21 04:00:00|Shipped|\N|447
10132|2003-06-25 04:00:00|2003-07-01 04:00:00|2003-06-28 04:00:00|Shipped|\N|323
10133|2003-06-27 04:00:00|2003-07-04 04:00:00|2003-07-03 04:00:00|Shipped|\N|141
10134|2003-07-01 04:00:00|2003-07-10 04:00:00|2003-07-05 04:00:00|Shipped|\N|250
10135|2003-07-02 04:00:00|2003-07-12 04:00:00|2003-07-03 04:00:00|Shipped|\N|124
10136|2003-07-04 04:00:00|2003-07-14 04:00:00|2003-07-06 04:00:00|Shipped|Customer is interested in buying more Ferrari models|242
10137|2003-07-10 04:00:00|2003-07-20 04:00:00|2003-07-14 04:00:00|Shipped|\N|353
10138|2003-07-07 04:00:00|2003-07-16 04:00:00|2003-07-13 04:00:00|Shipped|\N|496
10139|2003-07-16 04:00:00|2003-07-23 04:00:00|2003-07-21 04:00:00|Shipped|\N|282
10140|2003-07-24 04:00:00|2003-08-02 04:00:00|2003-07-30 04:00:00|Shipped|\N|161
10141|2003-08-01 04:00:00|2003-08-09 04:00:00|2003-08-04 04:00:00|Shipped|\N|334
10142|2003-08-08 04:00:00|2003-08-16 04:00:00|2003-08-13 04:00:00|Shipped|\N|124
10143|2003-08-10 04:00:00|2003-08-18 04:00:00|2003-08-12 04:00:00|Shipped|Can we deliver the new Ford Mustang models by end-of-quarter?|320
10144|2003-08-13 04:00:00|2003-08-21 04:00:00|2003-08-14 04:00:00|Shipped|\N|381
10145|2003-08-25 04:00:00|2003-09-02 04:00:00|2003-08-31 04:00:00|Shipped|\N|205
10146|2003-09-03 04:00:00|2003-09-13 04:00:00|2003-09-06 04:00:00|Shipped|\N|447
10147|2003-09-05 04:00:00|2003-09-12 04:00:00|2003-09-09 04:00:00|Shipped|\N|379
10148|2003-09-11 04:00:00|2003-09-21 04:00:00|2003-09-15 04:00:00|Shipped|They want to reevaluate their terms agreement with Finance.|276
10149|2003-09-12 04:00:00|2003-09-18 04:00:00|2003-09-17 04:00:00|Shipped|\N|487
10150|2003-09-19 04:00:00|2003-09-27 04:00:00|2003-09-21 04:00:00|Shipped|They want to reevaluate their terms agreement with Finance.|148
10151|2003-09-21 04:00:00|2003-09-30 04:00:00|2003-09-24 04:00:00|Shipped|\N|311
10152|2003-09-25 04:00:00|2003-10-03 04:00:00|2003-10-01 04:00:00|Shipped|\N|333
10153|2003-09-28 04:00:00|2003-10-05 04:00:00|2003-10-03 04:00:00|Shipped|\N|141
10154|2003-10-02 04:00:00|2003-10-12 04:00:00|2003-10-08 04:00:00|Shipped|\N|219
10155|2003-10-06 04:00:00|2003-10-13 04:00:00|2003-10-07 04:00:00|Shipped|\N|186
10156|2003-10-08 04:00:00|2003-10-17 04:00:00|2003-10-11 04:00:00|Shipped|\N|141
10157|2003-10-09 04:00:00|2003-10-15 04:00:00|2003-10-14 04:00:00|Shipped|\N|473
10158|2003-10-10 04:00:00|2003-10-18 04:00:00|2003-10-15 04:00:00|Shipped|\N|121
10159|2003-10-10 04:00:00|2003-10-19 04:00:00|2003-10-16 04:00:00|Shipped|\N|321
10160|2003-10-11 04:00:00|2003-10-17 04:00:00|2003-10-17 04:00:00|Shipped|\N|347
10161|2003-10-17 04:00:00|2003-10-25 04:00:00|2003-10-20 04:00:00|Shipped|\N|227
10162|2003-10-18 04:00:00|2003-10-26 04:00:00|2003-10-19 04:00:00|Shipped|\N|321
10163|2003-10-20 04:00:00|2003-10-27 05:00:00|2003-10-24 04:00:00|Shipped|\N|424
10164|2003-10-21 04:00:00|2003-10-30 05:00:00|2003-10-23 04:00:00|Resolved|This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.|452
10165|2003-10-22 04:00:00|2003-10-31 05:00:00|2003-12-26 05:00:00|Shipped|This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received|148
10166|2003-10-21 04:00:00|2003-10-30 05:00:00|2003-10-27 05:00:00|Shipped|\N|462
10167|2003-10-23 04:00:00|2003-10-30 05:00:00|2006-08-23 15:49:12|Cancelled|Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.|448
10168|2003-10-28 05:00:00|2003-11-03 05:00:00|2003-11-01 05:00:00|Shipped|\N|161
